difference,se,lower,upper,system,study,scale_var,scale_name
0.10477314972190044,0.09940067819893789,-0.09005217954801781,0.2995984789918187,BSGAZEI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
-0.16471093309669982,0.07313160887414934,-0.3080488864900325,-0.02137297970336713,BSGBFLI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
0.012712501258384634,0.10303058613295157,-0.18922744756220045,0.21465245007896971,BSGCHLI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
-0.1587221609689351,0.09120203823186633,-0.33747815590339314,0.020033833965522913,BSGCYPI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
0.12030336086209559,0.038639045329193884,0.044570832016875575,0.1960358897073156,BSGCZEI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
0.49416539285623173,0.0618136313041965,0.3730106755000066,0.6153201102124569,BSGDNKI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
-0.012303402660229779,0.051450246215851536,-0.11314588524329879,0.08853907992283923,BSGESPI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
0.19655297643291902,0.05809513914837866,0.08268650370209685,0.3104194491637412,BSGFINI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
0.0624517322989675,0.07484816992299789,-0.08425068075010836,0.20915414534804336,BSGHUNI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
0.5895660810949792,0.06293686281539397,0.46620982997680704,0.7129223322131514,BSGITAI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
-0.08555918602027646,0.066206284505535,-0.21532350365112507,0.04420513161057216,BSGLUXI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
-0.01906622882208353,0.05640996689096811,-0.12962976392838102,0.09149730628421396,BSGLVAI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
-0.6442037810651939,0.15281303294256998,-0.9437173256326311,-0.34469023649775676,BSGNLDI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
-0.010757879455532304,0.06760275570566729,-0.14325928063864019,0.12174352172757558,BSGSRBI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
-0.18310928262502557,0.07430930587720264,-0.3287555221443427,-0.037463043105708416,BSGSVKI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
0.30126399888370514,0.05919898003180021,0.18523399802137674,0.41729399974603354,BSGTWNI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
0.3295410516001809,0.07460859239399882,0.1833082105079432,0.47577389269241854,BSGUSAI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
0.713193477307648,0.08219549748894721,0.5520903022293115,0.8742966523859845,BSGXKXI3,ICILS 2023,S_LRNINTO,Learning about internet-related tasks outside school
-0.08945131000757378,0.009696794209089574,-0.10845702665738935,-0.07044559335775821,bsgaadm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.019634466610455092,0.011060724123011354,-0.002044552670647161,0.041313485891557346,bsgautm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
-0.0990770835626762,0.01397734408532916,-0.12647267796992134,-0.07168148915543104,bsgazem8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.05026589217188082,0.011905536540588065,0.026931040552328214,0.07360074379143343,bsgchlm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.08325925996752126,0.008934207915570123,0.06574821245300382,0.1007703074820387,bsgcypm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.14184019365784195,0.01504661762526317,0.11234882311232613,0.17133156420335777,bsgengm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.07525412836076306,0.010809594407977371,0.05406732332112742,0.0964409334003987,bsgfram8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
-0.07839099702913721,0.013310281658605339,-0.10447914908000368,-0.05230284497827074,bsggeom8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.004836325283063658,0.012061936851356852,-0.018805070945595772,0.02847772151172309,bsghkgm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
-0.003097746900712295,0.010319061949452693,-0.02332310832163957,0.01712761452021498,bsghunm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.1282475884450882,0.013231691752459248,0.10231347261026809,0.15418170427990835,bsgirlm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
-0.12756510242154562,0.009335591893718792,-0.14586286253323444,-0.10926734230985678,bsgjorm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
-0.008757340275293402,0.0125926420337253,-0.03343891866139499,0.015924238110808186,bsgkwtm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
-0.23958291754587435,0.010544814924576516,-0.2602507547980443,-0.21891508029370438,bsgmarm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
-9.88169208289591e-4,0.009634290865936411,-0.019871379305524958,0.017895040888945776,bsgmltm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
-0.026298397937457807,0.00730522033266096,-0.04061662978947329,-0.011980166085442326,bsgmysm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.22834828202545054,0.00797558985557163,0.21271612590853015,0.24398043814237094,bsgnorm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
-0.0648322887795505,0.01000900978376182,-0.08444994795572366,-0.045214629603377327,bsgomnm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.11463528052624561,0.007874266521599926,0.09920171814390975,0.13006884290858145,bsgprtm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
-0.09764481532161184,0.008860775711326006,-0.11501193571581081,-0.08027769492741288,bsgpsem8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.0028209796682112653,0.010241522237796926,-0.01725240391787071,0.02289436325429324,bsgsgpm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.17523960865766952,0.011491106673074502,0.1527170395784435,0.19776217773689556,bsgswem8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.07297943529376205,0.012800710131402474,0.047890043436213205,0.0980688271513109,bsgturm8,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics
0.0906202110235963,0.012975070503040585,0.06518907283763675,0.11605134920955584,ASGAADR5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.46226421045876975,0.029220000116870523,-0.5195354106878359,-0.4049930102297035,ASGALBR5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.02852776004072055,0.02875094307733674,-0.08487960847230056,0.027824088390859453,ASGAREA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.09718638221559672,0.013246589192983927,0.07122306739734822,0.12314969703384522,ASGAUTR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.0040229186366183,0.014479899321291161,-0.024357684033112375,0.03240352130634898,ASGBHRR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.01794690342169325,0.013038340169186346,-0.007608243309911989,0.043502050153298485,ASGCYPR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.1641112569885408,0.01807983688336703,0.12867477669714142,0.19954773727994016,ASGCZEA5,PIRLS 2021,ASBGSLR,Students Like Reading
0.09398814491274265,0.015183622999516718,0.06422824383368989,0.12374804599179542,ASGCZER5,PIRLS 2021,ASBGSLR,Students Like Reading
0.039150040181413104,0.011117645661931425,0.01735945468402751,0.060940625678798696,ASGDNKR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.11396148738926826,0.012853552620790699,0.0887685242525185,0.13915445052601802,ASGENGR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.07506665036930826,0.016703820661684552,0.042327161872406545,0.10780613886620999,ASGFINR5,PIRLS 2021,ASBGSLR,Students Like Reading
0.07782566483739473,0.01397737254437384,0.050430014650422,0.10522131502436745,ASGFRAR5,PIRLS 2021,ASBGSLR,Students Like Reading
-0.02471337703579124,0.01825416873982711,-0.060491547765852374,0.011064793694269895,ASGGEOR5,PIRLS 2021,ASBGSLR,Students Like Reading
