system,full,short,study,scale_var,scale_name,change
bsgturm8,0.30355193343209097,0.35560337295618527,TIMSS 2023 Grade 8,BSBGSLM,Students Like Learning Mathematics,0.0520514395240943
ASGAADR5,0.1812999443136237,0.15844803317040743,PIRLS 2021,ASBGSLR,Students Like Reading,-0.022851911143216275
ASGALBR5,0.09924542776787777,0.09180587324980355,PIRLS 2021,ASBGSLR,Students Like Reading,-0.007439554518074223
ASGAREA5,0.06675909795985216,0.06545935664143425,PIRLS 2021,ASBGSLR,Students Like Reading,-0.0012997413184179102
ASGAUTR5,0.1229345458233093,0.1426732271003112,PIRLS 2021,ASBGSLR,Students Like Reading,0.019738681277001888
ASGBHRR5,0.10796170064875284,0.11483581459653684,PIRLS 2021,ASBGSLR,Students Like Reading,0.006874113947784005
ASGCYPR5,0.08646518137797828,0.09597111289171023,PIRLS 2021,ASBGSLR,Students Like Reading,0.009505931513731955
ASGCZEA5,0.03713954676141379,0.06078770648072752,PIRLS 2021,ASBGSLR,Students Like Reading,0.02364815971931373
ASGCZER5,0.042038981396534184,0.07975371223777782,PIRLS 2021,ASBGSLR,Students Like Reading,0.03771473084124363
ASGDNKR5,0.1984717120561638,0.21353857748502403,PIRLS 2021,ASBGSLR,Students Like Reading,0.015066865428860238
ASGENGR5,0.1476119857501963,0.18102857577374054,PIRLS 2021,ASBGSLR,Students Like Reading,0.033416590023544246
ASGFINR5,0.16877807103683157,0.1893560850266334,PIRLS 2021,ASBGSLR,Students Like Reading,0.02057801398980183
ASGFRAR5,0.1521822881824864,0.1852051577075286,PIRLS 2021,ASBGSLR,Students Like Reading,0.03302286952504219
ASGGEOR5,-0.0022960274342388987,0.013422394285521057,PIRLS 2021,ASBGSLR,Students Like Reading,0.015718421719759956
ASGHKGR5,0.2204974143651907,0.23624441435804067,PIRLS 2021,ASBGSLR,Students Like Reading,0.015746999992849953
ASGHRVA5,0.014814132576056764,0.052665996565415804,PIRLS 2021,ASBGSLR,Students Like Reading,0.03785186398935904
ASGHUNA5,0.11620630087300424,0.13861071042677486,PIRLS 2021,ASBGSLR,Students Like Reading,0.022404409553770627
ASGHUNR5,0.13538529005393135,0.14395822730134528,PIRLS 2021,ASBGSLR,Students Like Reading,0.008572937247413925
ASGIRLR5,0.18987581887054988,0.2105615251766162,PIRLS 2021,ASBGSLR,Students Like Reading,0.02068570630606631
