system,full_mean,short_mean,n,study,scale_var,scale_name
ASGBHRR5,10.612590734131118,10.616613652767736,4867,PIRLS 2021,ASBGSLR,Students Like Reading
ASGCYPR5,9.841497102698638,9.85944400612033,4478,PIRLS 2021,ASBGSLR,Students Like Reading
ASGCZEA5,9.575925323348297,9.740036580336838,1875,PIRLS 2021,ASBGSLR,Students Like Reading
ASGCZER5,9.425138231422888,9.519126376335631,6382,PIRLS 2021,ASBGSLR,Students Like Reading
ASGDNKR5,8.743401235534376,8.78255127571579,4607,PIRLS 2021,ASBGSLR,Students Like Reading
ASGENGR5,9.43931229424422,9.553273781633488,4033,PIRLS 2021,ASBGSLR,Students Like Reading
ASGFINR5,9.0901653853655,9.165232035734808,6868,PIRLS 2021,ASBGSLR,Students Like Reading
ASGFRAR5,9.8903209559722,9.968146620809595,5122,PIRLS 2021,ASBGSLR,Students Like Reading
ASGGEOR5,10.926117738742395,10.901404361706604,4843,PIRLS 2021,ASBGSLR,Students Like Reading
ASGHKGR5,9.59248086688552,9.643151062382987,3800,PIRLS 2021,ASBGSLR,Students Like Reading
ASGHRVA5,9.303408525747656,9.403707456856486,1199,PIRLS 2021,ASBGSLR,Students Like Reading
ASGHUNA5,9.205837821278124,9.252960236936351,1630,PIRLS 2021,ASBGSLR,Students Like Reading
ASGHUNR5,9.304914514032044,9.357015832030758,5171,PIRLS 2021,ASBGSLR,Students Like Reading
ASGIRLR5,9.540115868720083,9.639660448211693,4585,PIRLS 2021,ASBGSLR,Students Like Reading
ASGISRA5,9.799524045462247,9.84342726379175,1692,PIRLS 2021,ASBGSLR,Students Like Reading
ASGITAR5,10.018023201473202,10.072341813855331,5316,PIRLS 2021,ASBGSLR,Students Like Reading
ASGJORR5,10.742916332401071,10.698059144202427,5780,PIRLS 2021,ASBGSLR,Students Like Reading
ASGKAZA5,10.590788311505083,10.66225587368324,3160,PIRLS 2021,ASBGSLR,Students Like Reading
ASGKAZR5,10.644192212945796,10.713197448982578,6774,PIRLS 2021,ASBGSLR,Students Like Reading
ASGLTUA5,8.975409307169825,9.019918231023478,1425,PIRLS 2021,ASBGSLR,Students Like Reading
ASGLTUR5,9.109023480029794,9.160046692913843,4485,PIRLS 2021,ASBGSLR,Students Like Reading
ASGMACR5,9.634281285908054,9.71298660052232,5079,PIRLS 2021,ASBGSLR,Students Like Reading
ASGMKDR5,11.54159683255274,11.24781252431782,2713,PIRLS 2021,ASBGSLR,Students Like Reading
ASGMLTR5,10.269089715442231,10.29759243066743,2885,PIRLS 2021,ASBGSLR,Students Like Reading
ASGMNER5,11.02664815082864,10.892572775651194,4202,PIRLS 2021,ASBGSLR,Students Like Reading
ASGNORA5,8.502575411391302,8.456513693442098,1632,PIRLS 2021,ASBGSLR,Students Like Reading
ASGNZLA5,9.645873189146977,9.750666935389196,2150,PIRLS 2021,ASBGSLR,Students Like Reading
ASGNZLR5,9.882850435171346,9.925774495451858,5174,PIRLS 2021,ASBGSLR,Students Like Reading
ASGQATR5,10.503997331776477,10.487392581897987,4850,PIRLS 2021,ASBGSLR,Students Like Reading
ASGRUSA5,9.688204822183534,9.74663822420139,2164,PIRLS 2021,ASBGSLR,Students Like Reading
ASGSAUA5,10.837418941284467,10.798453687834897,1629,PIRLS 2021,ASBGSLR,Students Like Reading
ASGSAUR5,11.06055999005762,11.03201837971142,3598,PIRLS 2021,ASBGSLR,Students Like Reading
ASGSRBR5,10.218600273399751,10.230600385427904,3948,PIRLS 2021,ASBGSLR,Students Like Reading
ASGSVKA5,9.279206590793665,9.323899472968586,1605,PIRLS 2021,ASBGSLR,Students Like Reading
ASGSVNR5,9.447981842617542,9.552694241227709,4967,PIRLS 2021,ASBGSLR,Students Like Reading
ASGSWEA5,8.667056207976097,8.639619701808625,1767,PIRLS 2021,ASBGSLR,Students Like Reading
ASGSWER5,8.849813098766338,8.85916594129523,4911,PIRLS 2021,ASBGSLR,Students Like Reading
ASGTURR5,11.161986059953788,11.01550290743451,5928,PIRLS 2021,ASBGSLR,Students Like Reading
ASGTWNR5,9.940837426186228,9.952747407515433,5512,PIRLS 2021,ASBGSLR,Students Like Reading
ASGUSAR5,9.351078476302217,9.462044458870889,1534,PIRLS 2021,ASBGSLR,Students Like Reading
ASGZA6R5,10.36266910311493,10.461808711165787,8798,PIRLS 2021,ASBGSLR,Students Like Reading
BRA,55.10958053125455,54.51923480278122,5252,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
DNK,50.159040457400046,50.233758147905924,4207,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
DNW,49.452867906275195,49.42722210352249,2781,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
DSH,49.2135908401942,49.30496869786997,1423,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
FRA,49.1225034262075,48.506352001566796,3275,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
ITA,52.201221861333046,52.423805617715495,4234,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
LTU,48.873442984940226,49.04581170379918,4771,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
LVA,48.5241457125412,48.34486624791296,3567,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
POL,50.911217458284725,50.90096914019205,4375,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
SVK,48.170940330746845,47.993369631183334,3088,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
SWE,50.836049027972265,50.47287197099994,4403,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
TWN,52.47666029405895,53.043985814082205,5203,ICCS 2022,S_CITEFF,Students' Citizenship Self-Efficacy
