Study,Scale,Full_items,Short_items,Reduction_pct,Heldout_individual_r,Mean_abs_country_mean_difference,Max_abs_country_mean_difference,Mean_abs_change_in_achievement_association,Max_abs_change_in_achievement_association
ICILS 2023,S_LRNINTO,6,6,0,0.9505641256904211,0.23349758761283274,0.713193477307648,0.026752673084568468,0.05500144871674932
TIMSS 2023 Grade 8,BSBGSLM,7,3,57.14285714285714,0.9547456877203507,0.0840455482459859,0.23958291754587435,0.03221382598840794,0.06147683993918607
PIRLS 2021,ASBGSLR,10,10,0,0.9324809763766834,0.0768064915671715,0.46226421045876975,0.019734178362667828,0.060172132789560705
ICCS 2022,S_CITEFF,7,5,28.57142857142857,0.9608513181058946,0.25756600321414896,0.6161514246407052,0.012709677886262205,0.037203991501935714
